AppID,Name,Primary_Genre,Price,Review_Score_Pct,Review_Count,Playtime_Hours,Languages_Count,Multiplayer,Cluster_Label
1120560,Sense - 不祥的预感: A Cyberpunk Ghost Story,2,2,1,1,0,0,0,2
674750,Yet Another Zombie Defense HD,1,0,1,2,0,1,1,0
751630,After the Fall®,1,2,1,2,2,1,1,2
2274510,Hood Warfare,1,1,1,1,0,0,1,2
1571440,Lunch Lady,1,1,1,2,1,1,1,0
851840,Strangers of the Power 2,5,0,2,0,1,0,1,0
665740,Book Of Potentia 2,11,0,1,0,0,0,1,2
327140,Tilt Brush,9,0,2,2,0,0,0,0
2109850,Barbershop Simulator VR,5,2,1,0,0,0,0,2
450440,Creepy Castle,2,1,2,1,0,0,0,0
349650,Tokyo Hosto,2,1,0,0,0,0,0,1
3115390,SuperImage Pro,14,1,1,0,2,1,0,0
1602080,Soulstice,1,1,0,2,1,1,0,2
572170,DeadTruth: The Dark Path Ahead,2,0,0,0,1,0,0,1
714020,Idle Adventure,2,0,0,1,2,0,1,2
443530,Adam and Eve: The Game - Chapter 1,1,1,0,0,0,0,0,1
523070,Black Forest,5,1,1,1,0,0,0,2
391140,Blast-off,1,0,2,1,1,1,0,0
461560,MANDAGON,2,0,2,2,0,0,0,0
1968730,Bounty of One,1,1,2,2,2,1,1,0
233410,Tomb Raider - The Final Hours Digital Book,1,0,1,1,0,0,0,0
1374970,Moonscars,1,2,1,2,0,1,0,0
1266220,Death end re;Quest 2,1,2,0,1,2,0,0,2
3487340,Zavod,2,1,2,1,2,0,0,0
780290,Gloomhaven,2,2,1,2,2,0,1,0
1325890,SILT,2,1,1,1,0,1,0,2
1545600,Grapple Hoops,1,0,0,0,0,0,1,2
450540,"Hot Dogs, Horseshoes & Hand Grenades",1,2,2,2,2,0,0,0
48800,Ship Simulator Extremes,18,1,0,2,2,0,1,1
551630,Navalia,11,0,0,0,2,0,0,1
977510,Time to Morp,2,2,1,1,1,0,1,0
690040,SUPERHOT: MIND CONTROL DELETE,1,2,1,2,1,1,0,0
779650,Ready Player One: OASIS beta,1,0,0,1,0,1,1,1
1462810,WRC 10 FIA World Rally Championship,16,1,0,2,2,1,1,2
741500,"John, The Zombie",1,2,0,1,1,0,0,1
228300,Remember Me,1,2,1,2,2,1,0,0
291010,The Hat Man: Shadow Ward,1,0,0,2,1,1,0,2
396890,Gridworld,11,0,1,1,2,0,0,0
1014040,PictoQuest,5,0,1,1,1,1,0,0
494460,Dangerous Relationship,2,1,0,0,0,0,0,1
323280,Sea Legends: Phantasmal Light Collector's Edition,2,1,1,0,0,0,0,2
841190,"Honey, I Joined a Cult",5,1,0,2,1,1,0,2
724740,Lines X,5,0,1,2,0,1,0,0
3046600,Onimusha 2: Samurai's Destiny,1,2,1,1,1,1,0,0
19020,Puzzle Chronicles,5,1,0,0,0,0,1,1
552400,Sweep'n'Sweep,5,0,2,0,1,0,0,0
1621990,Stray Blade,1,2,0,1,2,1,0,2
1301620,Cross Princess,2,0,2,2,0,0,0,0
2658470,Is this Game Trying to Kill Me?,1,2,2,2,0,1,0,0
40400,AI War: Fleet Command,11,1,1,2,2,0,1,0
1012840,Moons of Madness,2,2,1,2,1,1,0,2
2224610,Project Planet - Earth vs Humanity,11,2,1,1,1,1,1,2
18400,Crazy Machines 2,5,2,0,1,1,0,0,1
1671280,Prognostic,2,1,2,1,0,0,0,0
1028590,The WILDS,5,1,1,1,0,0,0,2
339280,Strife®,1,0,1,2,1,0,1,2
509390,GalaxIverse,1,0,1,0,1,0,0,2
1343750,Z-Race,1,2,1,0,0,0,0,2
333390,Tales of Aravorn: Seasons Of The Wolf,2,1,1,0,2,0,0,0
379320,Clandestinity of Elsie,1,0,1,0,1,0,0,2
622680,Mayhem in Single Valley,1,1,1,1,1,1,0,0
1569930,Sword and Fairy 5,15,2,0,0,0,0,0,1
829590,CryoFall,1,1,1,2,2,1,1,2
1522160,Disney Epic Mickey: Rebrushed,1,2,2,2,1,1,0,0
1795470,Flooded,5,1,1,0,2,0,0,0
376730,Monument,1,1,1,2,1,1,0,2
939620,Pleasure Puzzle:Portrait 趣拼拼：肖像画,5,0,2,2,0,1,0,0
2246340,Monster Hunter Wilds,1,2,0,2,2,1,1,1
1143810,Black Skylands,1,1,1,2,2,1,0,0
572240,Snake 3D Adventures,1,1,0,0,1,1,0,2
2078040,White Day 2: The Flower That Tells Lies - Complete Edition,1,2,0,1,2,1,0,1
94000,Dinner Date,11,1,0,2,0,0,0,1
715670,DashPanel,21,0,1,1,2,0,0,0
1420300,No More Heroes 2: Desperate Struggle,1,2,0,1,0,1,0,2
1798020,Mega Man Battle Network Legacy Collection Vol. 2,1,2,1,1,2,0,1,0
386050,Proto Raider,1,0,1,0,1,1,0,2
1015480,DrumBeats VR,11,2,0,0,0,0,0,2
1832040,Flintlock: The Siege of Dawn,1,2,1,2,1,1,0,2
509560,Heroes of Dire,2,0,0,1,0,0,1,2
322520,DYNASTY WARRIORS 8 Empires,1,2,0,2,2,0,1,2
2273980,Orcs Must Die! Deathtrap,1,2,0,2,2,1,1,2
356520,Port of Call,2,0,2,2,0,0,0,0
1168170,WAIFU HORROR: The Eight Pictures,1,0,0,0,0,0,0,1
696180,Bullet Witch,1,1,0,1,1,0,0,2
430890,Rytmik Player,4,0,0,0,0,0,0,2
1985960,Ogu and the Secret Forest,2,2,2,2,2,1,0,0
381260,Orion Trail,1,1,0,1,0,0,0,2
365960,rFactor 2,16,1,1,2,2,0,1,2
1438480,Saviorless,1,1,2,1,1,1,0,0
8190,Just Cause 2,1,0,2,2,2,1,0,0
2175540,DRAGON QUEST MONSTERS: The Dark Prince,15,2,1,1,2,1,0,2
317470,Cubic Castles,1,0,1,2,1,0,1,2
450500,Ace of Seafood,1,1,2,1,1,0,1,0
462910,Poly Runner VR,5,0,1,0,0,0,0,0
301700,Numba Deluxe,5,1,0,1,0,0,0,2
311850,Zombie Solitaire,5,0,0,0,2,1,0,2
3279160,Only Up: LIZARDS MUST FALL,1,0,1,1,1,1,1,2
322440,Red Goddess: Inner World,1,2,0,0,0,0,0,1
1125330,Griefhelm,1,2,1,1,1,0,1,2
458770,WRC 6 FIA World Rally Championship,16,0,0,2,2,1,1,2
1007630,Wraithslayer,1,1,2,0,0,0,0,0
1168660,Barro 2020,5,0,1,2,0,1,1,0
1527890,Dysterra,1,0,0,1,2,1,1,1
458500,Babylon 2055 Pinball,5,1,0,0,1,0,0,2
504790,Fables from the Den,6,0,1,0,0,0,0,0
629820,Maneater,1,1,2,2,2,1,0,0
283960,Pajama Sam: No Need to Hide When It's Dark Outside,2,1,2,2,1,0,0,0
2817690,天呐！找不到真爱就扑街！,11,2,1,1,1,0,0,2
2827230,Wild Assault,1,2,1,2,2,1,1,2
1615290,Ravenous Devils,5,1,2,2,1,1,0,0
312050,Red Johnson's Chronicles - 1+2 - Steam Special Edition,1,0,0,0,2,0,0,1
287070,Battle Academy,20,0,1,1,0,0,1,0
2459490,This Grand Life 2,15,2,2,0,2,1,0,0
1345760,Matchpoint - Tennis Championships,18,2,0,1,2,1,1,2
395250,The Adventures of Fatman,2,0,1,0,1,0,0,2
363620,Tea Party Simulator 2015™,1,1,0,1,1,0,0,2
416600,Full Metal Furies,1,1,2,2,2,1,1,0
622980,TrainClicker Idle Evolution,5,1,0,0,2,0,0,2
1677740,Stumble Guys,1,0,1,2,2,1,1,0
771920,TOGETHER VR,2,1,0,1,0,0,0,2
388320,1979 Revolution: Black Friday,1,2,1,2,1,0,0,2
463670,Runeyana,1,0,0,0,1,0,0,1
2654540,无休仙途,2,1,0,1,2,0,0,2
1497820,Golden Rails: Small Town Story,2,1,2,0,2,0,0,0
577480,Higurashi When They Cry Hou - Ch. 5 Meakashi,2,1,2,1,2,0,0,0
533950,Don't open the doors!,1,2,1,1,1,0,0,0
722020,Bitcoin Collector: Spinners Attack,1,0,0,0,0,1,0,1
923590,Forebearers,11,2,0,0,1,0,0,1
466580,GOD's DEATH,11,1,0,0,1,0,0,1
1895130,Darza's Dominion,1,0,0,2,0,0,1,2
1237610,The Catch: Carp & Coarse Fishing,5,2,0,1,1,1,1,2
403090,Rescue Team 2,5,0,2,0,2,1,0,0
1288790,BeachHead,1,1,0,0,1,0,0,2
358390,Stargunner,1,0,1,0,1,0,0,2
732050,Voxel Tycoon,11,2,1,2,2,1,0,2
529450,I Know a Tale,2,1,1,0,0,0,0,2
300840,JUJU,1,2,2,0,2,1,1,0
813300,CODE CRACKER 代码破译者,2,1,2,0,0,0,0,0
382380,The Amber Throne,2,2,1,1,0,0,0,0
341500,Camera Obscura,1,0,0,2,1,0,0,2
686260,Forged Battalion,11,1,0,2,0,1,1,1
2545,RIP - Trilogy™,5,1,0,1,0,0,1,1
1975340,HAITENAI RPG,2,2,0,0,2,0,0,2
1709870,Spirited Thief,2,0,2,0,1,0,0,0
1005240,Pixel Puzzles Illustrations & Anime Jigsaw Puzzles,5,0,1,1,1,1,0,2
1113570,Voice of Cards: The Isle Dragon Roars,15,2,1,2,2,0,0,2
2868860,Card Survival: Fantasy Forest,2,2,0,2,2,0,0,2
1380220,Starsand,1,2,0,2,2,1,0,2
892380,Dr Greenstuff,11,2,2,0,2,0,0,0
1504740,Find Yourself,11,1,1,2,0,0,0,0
396280,Anarchy Online,1,0,1,1,0,0,1,0
574030,Score a goal (Physical football),5,0,0,1,1,1,0,2
611160,Karnage Chronicles,1,2,1,2,1,0,1,0
1284820,Desktop Kanojo,5,0,1,2,2,0,0,0
560640,The Cabin: VR Escape the Room,1,1,0,0,0,0,0,1
1128860,Men of War II,1,2,0,2,2,1,1,2
40,Deathmatch Classic,1,0,1,2,1,1,1,0
733770,MegaRace 3,1,0,0,0,0,0,0,1
751590,Dinosaurs A Prehistoric Adventure,1,0,0,1,0,0,0,1
3126330,Kiosk,2,1,2,2,0,1,0,0
716490,EXAPUNKS,11,2,2,2,2,0,0,0
553520,Trainz Railroad Simulator 2019,18,2,1,2,2,1,1,2
437730,Roadclub: League Racing,1,0,1,0,2,0,1,0
